ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,category
소폭/MAG,5555,4532,10087,0.0008737257837973019,0.0008949699803924162,0.9762626713068081,중립
작용/NNG,5671,4362,10033,0.0008919710026848783,0.0008613987322311827,1.0354914272679596,중립
대상/NNG,5446,4567,10013,0.0008565815694977689,0.0009018817079550233,0.9497715298384636,중립
비용/NNG,6108,3904,10012,0.0009607051462527309,0.0007709538401262121,1.2461253790440356,중립
추세/NNG,5606,4216,9822,0.0008817473886530467,0.0008325669543985938,1.0590708458876783,중립
유로/NNG,4546,5197,9743,0.0007150238367493311,0.0010262928040819478,0.696705495649405,비둘기파
유로존/NNG,4806,4927,9733,0.0007559182928766576,0.0009729737628846945,0.7769153924926958,중립
배포/NNG,4184,5517,9701,0.000658086170910515,0.0010894857417972112,0.6040337616763473,비둘기파
떨어/VV,5880,3800,9680,0.00092484385395646,0.0007504161353687515,1.2324413220432624,중립
적용/NNG,5325,4354,9679,0.0008375499187615901,0.0008598189087883011,0.9741003718351652,중립
불안/NNG,5349,4220,9569,0.0008413247916348817,0.0008333568661200346,1.0095612406146535,중립
포함/NNG,5282,4219,9501,0.0008307866048636091,0.0008331593881896744,0.9971520655474807,중립
단위/NNG,4835,4614,9449,0.0007604795975985517,0.0009111631706819525,0.8346250398042065,중립
ecb/NNG,4883,4489,9372,0.000768029343345135,0.0008864784293869278,0.8663824385171899,중립
생산/NNG,5201,4138,9339,0.0008180464089162497,0.0008171636758304984,1.0010802402405543,중립
나서/VV,5798,3507,9305,0.0009119463716393801,0.0006925551017732135,1.3167852916027023,매파
상대적/VAX,4823,4469,9292,0.0007585921611619059,0.0008825288707797239,0.8595663963850626,중립
유입/NNG,4511,4542,9053,0.0007095188138091141,0.0008969447596960182,0.791039588713998,중립
구분/NNG,4833,4185,9018,0.0007601650248591107,0.0008264451385574277,0.9198009515622417,중립
이자/NNG,4888,4115,9003,0.0007688157751937375,0.0008126216834322138,0.9460931093378454,중립
세계/NNG,5094,3897,8991,0.0008012167673561577,0.0007695714946136908,1.0411206404654478,중립
여건/NNG,5023,3897,8920,0.0007900494351060031,0.0007695714946136908,1.0266095361323015,중립
환경/NNG,5439,3463,8902,0.0008554805649097255,0.0006838660728373649,1.2509475157326213,중립
현황/NNG,4174,4725,8899,0.0006565133072133102,0.0009330832209519345,0.7035956627143432,비둘기파
민간/NNG,5279,3540,8819,0.0008303147457544476,0.0006990718734751001,1.1877387394044858,중립
상회/NNG,5392,3384,8776,0.0008480881055328626,0.0006682653163389093,1.2690889154312426,중립
최종/NNG,4851,3924,8775,0.0007629961795140795,0.000774903398733416,0.9846339308373161,중립
긍정적/VAX,4374,4342,8716,0.0006879705811574075,0.0008574491736239787,0.802345611052051,중립
감안/NNG,4306,4401,8707,0.0006772751080164144,0.0008691003715152304,0.779282957658413,중립
어떠/NNG,4374,4286,8660,0.0006879705811574075,0.0008463904095238077,0.8128288948175468,중립
운영/NNG,4538,4102,8640,0.0007137655457915672,0.0008100544703375312,0.8811327780144925,중립
자본/NNG,4174,4411,8585,0.0006565133072133102,0.0008710751508188324,0.7536815929098325,비둘기파
누적/NNG,4306,4269,8575,0.0006772751080164144,0.0008430332847076843,0.8033788467216388,중립
펀드/NNG,4314,4257,8571,0.0006785333989741783,0.0008406635495433619,0.807140263596238,중립
정확/NNG,4293,4209,8502,0.0006752303852100481,0.0008311846088860724,0.812371136317082,중립
주목/NNG,4412,3986,8398,0.000693947463206786,0.0007871470304157483,0.8815982737561278,중립
속도/NNG,4871,3504,8375,0.0007661419069084892,0.000691962667982133,1.1072012152659536,중립
비교/NNG,5136,3238,8374,0.0008078227948844181,0.0006394335385063204,1.263341295440094,중립
이전/NNG,4805,3561,8366,0.0007557610065069371,0.0007032189100126642,1.0747165580250488,중립
중요/NNG,4849,3446,8295,0.0007626816067746385,0.0006805089480212415,1.120751768205746,중립
악화/NNG,4721,3537,8258,0.0007425489514504163,0.0006984794396840196,1.063093498910051,중립
이유/NNG,4676,3572,8248,0.0007354710648129944,0.0007053911672466265,1.0426428611004297,중립
제한/NNG,4075,4145,8220,0.0006409419566109821,0.0008185460213430198,0.7830249489935387,중립
종합/NNG,3409,4806,8215,0.0005361892343771381,0.0009490789333111105,0.5649574714576179,비둘기파
아직/MAG,4707,3477,8184,0.0007403469422743294,0.0006866307638624076,1.0782315346748517,중립
부정적/VAX,3994,4170,8164,0.0006282017606636227,0.0008234829696020247,0.7628594444001944,비둘기파
수익/NNG,4272,3886,8158,0.0006719273714459179,0.0007673992373797285,0.8755903559927976,중립
작성/NNG,4176,3936,8112,0.0006568278799527512,0.0007772731338977385,0.8450412748206043,중립
관계자/NNG,5347,2738,8085,0.0008410102188954407,0.0005406945733262214,1.5554256698412017,매파
약화/NNG,4263,3815,8078,0.0006705117941184335,0.0007533783043241545,0.8900067738477557,중립
종가/NNG,3444,4543,7987,0.0005416942573173551,0.0008971422376263785,0.6037997483548955,비둘기파
침체/NNG,4826,3139,7965,0.0007590640202710673,0.0006198832234006608,1.2245274458419197,중립
관리/NNG,4535,3249,7784,0.0007132936866824058,0.0006416057957402825,1.1117319878000946,중립
코로나/NNG,4107,3583,7690,0.0006459751204420377,0.0007075634244805886,0.9129571966163147,중립
제시/NNG,4163,3516,7679,0.0006547831571463848,0.0006943324031464553,0.9430398958469343,중립
선호/NNG,4028,3651,7679,0.0006335494972341192,0.0007209919237450821,0.8787192704506915,중립
