date,title,call_rate
2024-03-27,물가지표 발표 앞두고 경계심…트럼프SNS 거래 첫날 16%↑ [뉴욕증시 브리핑],3.44
2024-03-27,엔·달러 환율 34년 만에 최고…장중 151.97엔까지 올라,3.44
2024-03-27,"34년래 최저치 일본엔화...""155엔부터 시장 개입예상""",3.44
2024-03-27,바이든식 포퓰리즘 통했나…美경합주서 '부자증세'에 69% 찬성,3.44
2024-03-27,고수익 노리는 美 상업은행들…국채 매입 'GO! GO! GO!',3.44
2024-03-27,연고점 돌파한 원·달러 환율…1350원 턱밑까지 상승 [한경 외환시장 워치],3.44
2024-03-27,"신한은행, 신종자본증권 수요예측 '완판'…주문액 7400억원 몰려",3.44
2024-03-27,"""美 부채위기 전례없는 급증세…英트러스 충격 재발 위험"" 경고",3.44
2024-03-27,"SK네트웍스, '알짜 자회사' SK렌터카 매각 추진",3.44
2024-03-27,"월가, '채권시장 게임체인저' 인도 국채에 잇단 러브콜",3.44
2024-03-27,"트럼프 미디어 주식, 위험부담 큰 '정치적 밈스톡'",3.44
2024-03-27,"디플레 늪 벗어난 日, 땅값도 꿈틀…공시가 33년 만 최대상승",3.44
2024-03-27,"[환율, 연고점 돌파]""1360원 일시 돌파도 열어둬야""",3.44
2024-03-27,달러 당 엔화 151.97엔 터치…34년 만 최고,3.44
2024-03-27,"원·달러 환율, 장중 1350원 턱 밑까지 상승…‘연고점’ 돌파[외환분석]",3.44
2024-03-27,"하이투자증권 ""엔·위안 약세 용인…환율, 1350원 상단으로 박스권 장세""",3.44
2024-03-27,美 FRB 적자...영업손실 1143억 달러 '역대 최대',3.44
2024-03-27,"국고채 금리, 1bp 내외 하락 출발… 10년물, 1.8bp↓",3.44
2024-03-27,재료 부재에 관망세… 글로벌 금리 추종하며 보합[채권브리핑],3.44
2024-03-27,"케이뱅크, 여름휴가 경품 이벤트",3.44
2024-03-27,"‘ACE 미국30년국채엔화노출액티브’, 순자산 250억 돌파",3.44
2024-03-27,"신한운용, ‘SOL 초단기채권 액티브’ 순자산 3000억 돌파",3.44
2024-03-27,[뉴스새벽배송]뉴욕증시 3거래일 연속 하락…국내 기업체감경기 반등,3.44
2024-03-27,"""美 증시 약세에 국내 증시도 숨 고르기 장세 전망""",3.44
2024-03-27,"현대차, 호실적 기대감에 목표가 14%↑-메리츠",3.44
2024-03-27,촉매 사라진 뉴욕증시…‘트루스소셜’ 공식거래 첫날 16%↑[월스트리트in],3.44
2024-03-27,"[환율, 연고점 돌파]""엔화 약세 진정될 것…상단 1350원""",3.44
2024-03-27,"크리스피 도넛, 맥도날드서도 판다…주가 40% 폭등(영상)",3.44
2024-03-27,"주금공, 4월 보금자리론 금리 0.15%p 인하",3.44
2024-03-27,소상공인 3.2만명에 1조 추가 보증…PF사업장 보증 5조 확대,3.44
2024-03-27,"尹 ""부담금 폐지, 무책임하게 방치…263건 규제 유예 잘한 판단""(종합)",3.44
2024-03-27,"국고채 금리, 장기물 위주 낙폭 확대… 30년물, 3.4bp↓[채권분석]",3.44
2024-03-27,[마켓인]AA에서 BBB까지 '완판'…회사채 수요 견조,3.44
2024-03-27,"주택건설업계 ""개발부담금 감면 등 정책, 공급확대에 긍정적""",3.44
2024-03-27,"[마켓인]CJ대한통운, ‘콜옵션’ 2000억 영구채 CP로 차환한다",3.44
2024-03-27,"국고채 금리 2bp 내외 하락… 10년물, 2.4bp↓[채권마감]",3.44
2024-03-27,1350원에 바짝 다가선 환율…넉 달여만에 ‘최고’[외환마감],3.44
2024-03-27,"사업비 3.5조 '용인 반도체 클러스터' 유동화증권 1000억, 오는 6월 만기",3.44
2024-03-27,"DGB대구은행, 소상공인 저금리 대환대출 금융비용 지원",3.44
2024-03-27,"국민은행, 민생금융 716억원 자율지원",3.44
2024-03-27,애플페이 도입 1년…왜 다른 카드사는 도입하지 않나요[궁즉답],3.44
2024-03-27,"[환율, 연고점 돌파]“한 달간 강달러 꺾을 재료 없어…상단 1360원 초반”",3.44
2024-03-27,"尹 ""중소기업 42조 자금 공급…부동산 PF 철저히 관리""",3.44
2024-03-27,"은행권, 민생 자율프로그램 가동…6000억원 투입",3.44
2024-03-27,"하나은행, 1563억원 규모 민생금융지원 자율 프로그램 시행",3.44
2024-03-27,"“여보, 금리 내리기 전에 이거 사놓자”…한달새 1.5조 뭉칫돈 몰렸다는데",3.44
2024-03-27,“33년만에 가장 많이 올랐다는데”…땅값 들썩이는 ‘이 나라’ 신흥부자 쏟아지나,3.44
2024-03-27,"“여보, 싼 아파트 잔금대출로 갈아타자”…다음주부터 가능하다는데",3.44
2024-03-27,"“나 아직 한창이야”…절대 아파트 안물려주는 아빠, 칠순은 넘어야 물려줄판",3.44
2024-03-27,“적정 은퇴 연령이 65세라는 건 미친 생각”…세계 최대 자산운용사 회장의 주장 보니,3.44
2024-03-27,"유진투자증권-삼성자산운용, 펀드 2종 가입 이벤트 진행",3.44
2024-03-27,"美장기채·엔화 상승 동시 투자 ETF, 개인 몰렸다",3.44
2024-03-27,"신한운용, 초단기채권 액티브 ETF 순자산 3000억원 돌파",3.44
2024-03-27,"“국장 못 믿어 탈출했는데”...개미들, 증시 훈풍에 곡소리",3.44
2024-03-27,[머니콘 출사표]주식 전도사 염승환 이사 “美中 갈등 반사이익 韓주식 2분기까지 쭉 간다”,3.44
2024-03-27,코스피 장중 2770선 뚫자…증권가 “3000까지 무난히 갈 것”,3.44
2024-03-26,"""내 집 마련 꿈 이뤄볼까""…청약저축 가입자 다시 늘어난 이유",3.472
2024-03-26,"과기공-KB證, 반포 PF 사업장 놓고 양보 없는 ‘힘겨루기’",3.472
2024-03-26,달러 매수세 강하게 유입…낙폭 반납한 원화 [한경 외환시장 워치],3.472
2024-03-26,"""美 인텔·AMD 칩 쓰지마""…중국의 반격에 기술주 하락 [뉴욕증시 브리핑]",3.472
2024-03-26,출시 3개월 만에 105억 돌파…신한MAN글로벌하이일드 설정액 급증,3.472
2024-03-26,"다시 치솟나…비트코인, 11일만 7만달러선 회복",3.472
2024-03-26,"롯데렌탈, 업계 최초 무디스 투자적격등급 ‘Baa3’ 획득",3.472
2024-03-26,"한화자산운용, 'ARIRANG 머니마켓액티브 ETF' 신규 상장",3.472
2024-03-26,"한화자산운용, 'ARIRANG 머니마켓액티브 ETF' 신규 상장",3.472
2024-03-26,"IMM크레딧, SK엔무브 인수금융 리파이낸싱 마무리 단계",3.472
2024-03-26,이자만 매달 150억…삼성家에도 가혹한 '상속세 폭탄' [김익환의 컴퍼니워치],3.472
2024-03-26,"뉴욕증시, 윈도우드레싱 효과로 반등",3.472
2024-03-26,"글로벌 헤지펀드, 유럽 담고 미국 팔고…'그래놀라즈'가 뜬다",3.472
2024-03-26,[마켓칼럼] 미·중 패권싸움에 낀 주식시장…대선 앞두고 커진 변동성,3.472
